target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
tops,random_conv2,random,conv2,110,1568,32,10,5,50,0.91699,0.008169436570385451,0.9140042870509426,0.008406069063634228,0.9100060000000001,0.00858055252490497,0.9068545660129596,0.008806163340562377,0.8897689326523607,0.01033182788850332,1.0,0.6039999999999999
tops,random_conv2,random,conv2,150,1568,32,10,5,50,0.92006,0.007919003235565573,0.9171380164800502,0.008119707532916251,0.9135320000000001,0.007774170734698646,0.910438202722619,0.007969560499259475,0.893838484094533,0.009343089976458094,1.0,0.5860000000000001
tops,random_conv2,random,conv2,200,1568,32,10,5,50,0.9220999999999998,0.006728707914903256,0.9191608748171798,0.006876834109301889,0.91491,0.007079901129253149,0.9117959888064283,0.007254581992909208,0.8952738397064351,0.008528849605383568,1.0,0.6040000000000001
tops,random_fc,random,fc,10,128,32,10,5,50,0.79574,0.05452898873301153,0.7848271487501591,0.06072193076438886,0.7917740000000001,0.053131534162387785,0.7807978214883435,0.059464150969835664,0.735075243999153,0.08255375210558896,1.0,0.622
tops,random_fc,random,fc,20,128,32,10,5,50,0.84434,0.03324160781003106,0.8390599313963256,0.03623846232469636,0.840034,0.03325897521952625,0.8347624232857629,0.03638201524133576,0.8074763606766078,0.048899387349124586,1.0,0.6579999999999999
tops,random_fc,random,fc,30,128,32,10,5,50,0.8658500000000001,0.024232136277502005,0.8619465505152881,0.024469426223119126,0.8618299999999999,0.022668410547162187,0.8579355880754642,0.022899836100832766,0.8351842953843591,0.026183775086653076,1.0,0.6742
tops,random_fc,random,fc,50,128,32,10,5,50,0.88993,0.019905647337335384,0.8863653264093715,0.019961671209292754,0.8840439999999999,0.019028337192895508,0.8804323910733025,0.019066816118307333,0.8600362806335415,0.020954689699882196,1.0,0.64
tops,random_fc,random,fc,80,128,32,10,5,50,0.9036,0.014844087670702786,0.900265973802224,0.015002324482428966,0.898342,0.013526151390124662,0.8949176128766929,0.013619503622398431,0.8760817708510358,0.015169383905616257,1.0,0.6579999999999999
tops,random_fc,random,fc,110,128,32,10,5,50,0.9088499999999999,0.012681840624793132,0.9055765168562986,0.012909563993944483,0.9023479999999999,0.012249485453583389,0.8989208640625885,0.012399430554904115,0.8804073539470249,0.014053054409268418,1.0,0.622
tops,random_fc,random,fc,150,128,32,10,5,50,0.9124099999999999,0.011765866404345163,0.9092629258160824,0.011882806243047597,0.9065639999999999,0.01133122397337083,0.9032828661400599,0.011360018139341645,0.8855750910579353,0.012585488931718321,1.0,0.64
tops,random_fc,random,fc,200,128,32,10,5,50,0.9144199999999999,0.011188715160320049,0.9113470479171106,0.011343420568576682,0.90869,0.010210223967640856,0.9054699529984905,0.010203930540524252,0.8881112672004268,0.011218595574515336,1.0,0.622
tops,trained_conv1,trained,conv1,10,3136,32,10,5,50,0.8177800000000001,0.04432488590176044,0.8081186670235535,0.05031068809782168,0.8159000000000001,0.043525197956389095,0.8059974178027309,0.049718543131675785,0.7645026637120546,0.07014084503195434,1.0,0.64
tops,trained_conv1,trained,conv1,20,3136,32,10,5,50,0.8508500000000001,0.03167263191218719,0.8445575341428179,0.034377451871613215,0.8488220000000001,0.03341000882663634,0.8423580043777646,0.03606948742999068,0.8119178143074732,0.04696457609014767,0.1,0.55
tops,trained_conv1,trained,conv1,30,3136,32,10,5,50,0.86807,0.022991793123208284,0.8635066416545985,0.02354975881755309,0.865646,0.02433593303604145,0.8609354627046812,0.024960230570672877,0.8359477305601781,0.02947732305953705,1.0,0.6940000000000001
tops,trained_conv1,trained,conv1,50,3136,32,10,5,50,0.8871000000000001,0.01645494777027411,0.8834045516171362,0.017027281016335487,0.8843259999999998,0.015920475969707713,0.8804626588405445,0.01646672261124065,0.8591935692626796,0.019787388264635677,0.1,0.5320000000000001
tops,trained_conv1,trained,conv1,80,3136,32,10,5,50,0.8967399999999999,0.012445489306637681,0.8931748220075328,0.012771928697811309,0.8932119999999999,0.012082752761093567,0.8894979141486303,0.012496965274915145,0.8692922934550927,0.01486555901831004,0.1,0.3520000000000001
tops,trained_conv1,trained,conv1,110,3136,32,10,5,50,0.9042699999999999,0.008957501701629423,0.9009117030153273,0.009154091710948165,0.899958,0.009316106088546935,0.8964361766480262,0.009591604937466339,0.8773983969300275,0.011355792073570422,0.1,0.4060000000000001
tops,trained_conv1,trained,conv1,150,3136,32,10,5,50,0.90643,0.008373311587345576,0.9030360404514721,0.008842509273840692,0.90218,0.008372623025464038,0.8987015291946294,0.008775050069458508,0.8800088428472074,0.010840330187408015,0.1,0.29800000000000004
tops,trained_conv1,trained,conv1,200,3136,32,10,5,50,0.90845,0.00850345068012909,0.9051314642822373,0.008798692844728532,0.9043760000000001,0.0084724417606588,0.9009497589183043,0.008841737032597045,0.882589942283397,0.010788845934071783,0.1,0.262
tops,trained_conv2,trained,conv2,10,1568,32,10,5,50,0.8626599999999999,0.032839038490485556,0.8567398474184387,0.03572217831863505,0.85898,0.03150044379344001,0.8528948176983188,0.03455991601151128,0.8242269635784021,0.04613290599785872,0.1,0.55
tops,trained_conv2,trained,conv2,20,1568,32,10,5,50,0.8835500000000001,0.020648726303556447,0.8794096599125945,0.02200264599374678,0.878622,0.019924861815514477,0.8743320243290995,0.021122899964147474,0.8517745659389999,0.02685179439248682,0.1,0.47800000000000004
tops,trained_conv2,trained,conv2,30,1568,32,10,5,50,0.89236,0.016782230641548303,0.8887104311838122,0.017701365770117758,0.8889160000000002,0.015028630635407549,0.8851368664978194,0.01587064989101939,0.8645426747757334,0.019943038764909257,0.1,0.4042000000000001
tops,trained_conv2,trained,conv2,50,1568,32,10,5,50,0.90589,0.011897217133019137,0.9026185933314222,0.012539557050720282,0.90264,0.009894381006925301,0.8991834831587413,0.010603996436042764,0.8806392452959774,0.013672479880104536,0.1,0.3502000000000001
tops,trained_conv2,trained,conv2,80,1568,32,10,5,50,0.9111499999999999,0.009460039478711265,0.9080631479301967,0.009838584683110023,0.9086359999999999,0.008073988468899269,0.9054007322888272,0.008330711937356596,0.8879726056328521,0.009952925541315953,0.1,0.31060000000000004
tops,trained_conv2,trained,conv2,110,1568,32,10,5,50,0.91594,0.008942925604484649,0.9130732330878192,0.009148534828217874,0.9129120000000001,0.006663719620727857,0.9098628451456016,0.00681753796076538,0.8933256000243115,0.0079828653381794,0.1,0.2728
