source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,6,47,1,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.008250000000000035,-0.01213078236620746,-0.00824999999999998
42,6,47,1,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.019500000000000017,-0.010821232022398042,-0.019500000000000017
42,6,47,1,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.01050000000000001,-0.006997434305388406,0.01050000000000001
42,6,47,1,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.13524999999999998,-0.12319636546612589,-0.13524999999999998
42,6,47,1,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.06525000000000003,0.06467803997779975,0.06525000000000003
42,6,47,1,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.029000000000000026,0.05008453235633892,0.028999999999999915
42,6,47,2,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.10525000000000001,-0.09827001902450366,-0.10524999999999995
42,6,47,2,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.09375,-0.08899428963243522,-0.09375
42,6,47,2,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.049000000000000044,0.053717490843750326,0.04899999999999999
42,6,47,2,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.03150000000000003,0.05414725478588861,0.03149999999999997
42,6,47,2,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.11475000000000002,0.125308379679694,0.11474999999999991
42,6,47,2,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.03025,0.000614688668955865,-0.03025
42,6,47,3,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.056999999999999995,-0.05650273641306225,-0.056999999999999995
42,6,47,3,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.11224999999999996,-0.09741769451857579,-0.11224999999999996
42,6,47,3,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.053249999999999964,-0.07370349843352364,-0.05325000000000002
42,6,47,3,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.07524999999999998,-0.08825119669447684,-0.07525000000000004
42,6,47,3,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.09750000000000003,0.07266944183093649,0.09749999999999998
